name	abbreviation	equation	lowbnd	uppbnd	Present	obj_coef	rule	Knockout cost	Knockin cost	ProteinClass	subSystem
3-isopropylmalate dehydrogenase	IPMD	[c] : 3c2hmp + nad --> 3c4mop + h + nadh	0	Inf	1	0	Gmet_0602	1	1	LeuB	Amino Acid Metabolism
3-isopropylmalate dehydratase	IPPMIa	[c] : 3c2hmp <==> 2ippm + h2o	-Inf	Inf	1	0	Gmet_1269_OR_Gmet_1268	1	1	LeuCD	Amino Acid Metabolism
2-isopropylmalate hydratase	IPPMIb	[c] : 2ippm + h2o <==> 3c3hmp	-Inf	Inf	1	0	Gmet_1269_OR_Gmet_1268	1	1	LeuCD	Amino Acid Metabolism
2-isopropylmalate synthase	IPPS	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	0	Inf	1	0	Gmet_1265, Gmet_1879	1	1	LeuA3, LeuA	Amino Acid Metabolism
isoquinoline 1-oxidoreductase	IQNLOR	[c] : (2) ficytcc + h2o + iqnl <==> (2) focytcc + (2) h + iqnln	-Inf	Inf	1	0	Gmet_0838_OR_Gmet_0837	1	1	IorAB	Energy Metabolism
Isethionate transport via ABC system	ISTNTabc	atp[c] + h2o[c] + istnt[e] --> adp[c] + h[c] + istnt[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuA+SsuB+SsuC, SsuC1+SsuA1+SsuB1	Transport
dITP pyrophosphatase	ITPASE	[c] : ditp + h2o --> dimp + ppi	0	Inf	1	0	Gmet_1875	1	1	IxpP	Nucleotide Metabolism
ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	KARA1	[c] : 23dhmb + nadp <==> alac-S + h + nadph	-Inf	Inf	1	0	Gmet_1262	1	1	IlvC	Amino Acid Metabolism
ketol-acid reductoisomerase (2-Acetolactate)	KARA2	[c] : 2ahbut + h + nadph <==> 23dhmp + nadp	-Inf	Inf	1	0	Gmet_1262	1	1	IlvC	Amino Acid Metabolism
b-ketoacyl synthetase (Iso-C14:0)	KAS1	[c] : (14) h + ibcoa + (5) malcoa + (10) nadph --> (5) co2 + (6) coa + fa1 + (4) h2o + (10) nadp	0	Inf	1	0		1	1		Fatty Acid Metabolism
b-ketoacyl synthetase (n-C18:1)	KAS17	[c] : accoa + (22) h + (8) malcoa + (15) nadph --> (8) co2 + (9) coa + (7) h2o + (15) nadp + ocdcea	0	Inf	1	0		1	1		Fatty Acid Metabolism
b-ketoacyl synthetase (Iso-C15:0)	KAS3	[c] : (14) h + ivcoa + (5) malcoa + (10) nadph --> (5) co2 + (6) coa + fa3 + (4) h2o + (10) nadp	0	Inf	1	0		1	1		Fatty Acid Metabolism
b-ketoacyl synthetase (Anteiso-C15:0)	KAS4	[c] : 2mbcoa + (14) h + (5) malcoa + (10) nadph --> (5) co2 + (6) coa + fa4 + (4) h2o + (10) nadp	0	Inf	1	0		1	1		Fatty Acid Metabolism
b-ketoacyl synthetase (Iso-C17:1)	KAS9	[c] : (16) h + ivcoa + (6) malcoa + (11) nadph --> (6) co2 + (7) coa + fa9 + (5) h2o + (11) nadp	0	Inf	1	0		1	1		Fatty Acid Metabolism
3-deoxy-manno-octulosonate-8-phosphatase	KDOPP	[c] : h2o + kdo8p --> kdo + pi	0	Inf	1	0	Gmet_1279	1	1	KdoP	Cell Envelope Biosynthesis
2-dehydro-3-deoxy-phosphooctonate aldolase	KDOPS	[c] : ara5p + h2o + pep --> kdo8p + pi	0	Inf	1	0	Gmet_1277	1	1	KdsA	Lipid & Cell Wall Metabolism
potassium transport in/out via proton symport	Kt6	h[e] + k[e] <==> h[c] + k[c]	-Inf	Inf	1	0	Gmet_2550_AND_ Gmet_0038_AND_ Gmet_0039_AND_ Gmet_1105_OR_Gmet_3488	1	1	KefC, Kup, TrkA, Kup2	Transport
H+/K+-exchanging ATPase	Ktabc	atp[c] + h2o[c] + k[e] --> adp[c] + h[e] + k[c] + pi[c]	0	Inf	1	0	Gmet_2433_OR_Gmet_2435_OR_Gmet_2434	1	1	KdpABC	Transport
cysteate transport via ABC system	LCYSTabc	Lcyst[e] + atp[c] + h2o[c] --> Lcyst[c] + adp[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuC1+SsuA1+SsuB1, SsuA+SsuC+SsuB	Transport
L-leucine transport via ABC system	LEUabc	atp[c] + h2o[c] + leu-L[e] --> adp[c] + h[c] + leu-L[c] + pi[c]	0	Inf	1	0	Gmet_1823_OR_Gmet_1822_OR_Gmet_1819_OR_Gmet_1821_OR_Gmet_1820	1	1	AzlCD	Transport
D-leucine dehydrogenase	LEUD	[c] : h2o + leu-D + nad --> 4mop + h + nadh + nh4	0	Inf	1	0	Gmet_1186	1	1	Bcd	Valine, Leucine, and Isoleucine Metabolism
leucine transaminase	LEUTA	[c] : akg + leu-L <==> 4mop + glu-L	-Inf	Inf	1	0	Gmet_2853	1	1	IlvE	Amino Acid Metabolism
Leucyl-tRNA synthetase	LEUTRS	[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi	0	Inf	1	0	Gmet_2300	1	1	LeuS	Amino Acid Metabolism
lactoylglutathione lyase	LGTHL	[c] : gthrd + mthgxl --> lgt-S	0	Inf	1	0	Gmet_2237	1	1	GloA	Other
Lipid A disaccaride synthase	LPADSS	[c] : lipidX + u23ga --> h + lipidAds + udp	0	Inf	1	0	Gmet_2350	1	1	LpxB	Lipid & Cell Wall Metabolism
L-lysine transport out via proton antiport	LYSt3	h[e] + lys-L[c] --> h[c] + lys-L[e]	0	Inf	1	0	Gmet_0798	1	1	LysE1	Transport
Lysyl-tRNA synthetase	LYSTRS	[c] : atp + lys-L + trnalys --> amp + lystrna + ppi	0	Inf	1	0	Gmet_2360	1	1	LysS	Amino Acid Metabolism
Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase	MACPMT	[c] : ACP + malcoa --> coa + malACP	0	Inf	1	0	Gmet_1691, Gmet_1600	1	1	FabD, FabD2	Fatty Acid Synthesis
mannose-1-phosphate guanylyltransferase	MAN1PT1	[c] : gtp + h + man1p --> gdpman + ppi	0	Inf	1	0	Gmet_3178	1	1	Mpg	Cell Envelope Biosynthesis
mannose-1-phosphate guanylyltransferase (GDP)	MAN1PT2	[c] : gdp + h + man1p --> gdpman + pi	0	Inf	1	0	Gmet_1104	1	1	ManC	Cell Envelope Biosynthesis
mannose-6-phosphate isomerase	MAN6PI	[c] : man6p <==> f6p	-Inf	Inf	1	0	Gmet_2471	1	1	RfbAGs	Carbohydrate Metabolism
2-methylcitrate dehydratase	MCITD	[c] : 2mcit --> 2mcacn + h2o	0	Inf	1	0	Gmet_1123	1	1	PrpD	Alternate Carbon Metabolism
Butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]C-acyltransferase (decarboxylating)	MCMAT2	[c] : butACP + h + malACP --> 3oxhACP + ACP + co2	0	Inf	1	0	Gmet_1599, Gmet_1603, Gmet_3272, Gmet_1695, Gmet_1696	1	1	FabF2, FabF, FabF3, FabH1, FabH	Fatty Acid Synthesis
Hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase	MCMAT3	[c] : h + hexACP + malACP --> 3oxocACP + ACP + co2	0	Inf	1	0	Gmet_1603, Gmet_1695, Gmet_1696	1	1	FabF, FabF3, FabF2	Fatty Acid Synthesis
Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]   C-acyltransferase (decarboxylating)	MCMAT4	[c] : h + malACP + octACP --> 3oxdeACP + ACP + co2	0	Inf	1	0	Gmet_1603, Gmet_1695, Gmet_1696	1	1	FabF3, FabF, FabF2	Fatty Acid Synthesis
Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase	MCMAT5	[c] : decACP + h + malACP --> 3oxddACP + ACP + co2	0	Inf	1	0	Gmet_1603, Gmet_1695, Gmet_1696	1	1	FabF2, FabF3, FabF	Fatty Acid Synthesis
Dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]  C-acyltransferase	MCMAT6	[c] : ddcaACP + h + malACP --> 3oxtdACP + ACP + co2	0	Inf	1	0	Gmet_1603, Gmet_1695, Gmet_1696	1	1	FabF3, FabF2, FabF	Fatty Acid Synthesis
Tetradecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]  C-acyltransferase	MCMAT7	[c] : h + malACP + myrsACP --> 3oxhdACP + ACP + co2	0	Inf	1	0	Gmet_1603, Gmet_1695, Gmet_1696	1	1	FabF3, FabF2, FabF	Fatty Acid Synthesis
Hexadecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]  C-acyltransferase	MCMAT8	[c] : h + malACP + palmACP --> 3oxocdacp + ACP + co2	0	Inf	1	0	Gmet_1603, Gmet_1695, Gmet_1696	1	1	FabF2, FabF3, FabF	Fatty Acid Synthesis
5-Methylcytosine aminohydrolase	MCSNAH1r	[c] : 5mcsn + h + h2o <==> nh4 + thym	-Inf	Inf	1	0	Gmet_3524	1	1	YaaJ	Nucleotide Metabolism
malate dehydrogenase	MDH	[c] : mal-L + nad <==> h + nadh + oaa	-Inf	Inf	1	0	Gmet_1360	1	1	MLdh	Central Metabolism
malic enzyme (NADP)	ME2	[c] : mal-L + nadp --> co2 + nadph + pyr	0	Inf	1	0	Gmet_1637	1	1	Mae	Central Metabolism
2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase	MECDPDH	[c] : 2mecdp + nadh --> h2mb4p + h2o + nad	0	Inf	1	0	Gmet_1353	1	1	IspG	Cofactor and Prosthetic Group Biosynthesis
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	MECDPS	[c] : 2p4c2me --> 2mecdp + cmp	0	Inf	1	0	Gmet_0059	1	1	IspF	Vitamins & Cofactor Biosynthesis
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	MEPCT	[c] : 2me4p + ctp + h --> 4c2me + ppi	0	Inf	1	0	Gmet_0060	1	1	IspD	Other
O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	METACH	[c] : achms + h2s <==> ac + hcys-L	-Inf	Inf	1	0	Gmet_0819, Gmet_1566, Gmet_2390	1	1	MetAC2, MetAC1, MetAC	Amino Acid Metabolism
methionine adenosyltransferase	METAT	[c] : atp + h2o + met-L --> amet + pi + ppi	0	Inf	1	0	Gmet_1290, Gmet_2549	1	1	MetK, MetK2	Amino Acid Metabolism
methionine synthase	METS	[c] : 5mthf + hcys-L --> h + met-L + thf	0	Inf	1	0	Gmet_0549	1	1	MetH	Amino Acid Metabolism
L-methionine-S-oxide reductase (trdrd)	METSR-S1	[c] : metox + trdrd --> h2o + met-L + trdox	0	Inf	1	0	Gmet_0222	1	1	MsrA	Amino Acid Metabolism
L-methionine S-oxide reductase (H2O2)	METSR-S2	[c] : h2o2 + met-L --> h2o + metox	0	Inf	1	0	Gmet_0222	1	1	MsrA	Amino Acid Metabolism
Methionyl-tRNA synthetase	METTRS	[c] : atp + met-L + trnamet --> amp + mettrna + ppi	0	Inf	1	0	Gmet_2321	1	1	MetS	Amino Acid Metabolism
magnesium transport in/out via permease (no H+)	MGt5	mg2[c] <==> mg2[e]	-Inf	Inf	1	0	Gmet_0134, Gmet_1189	1	1	CorA2, CorA1	Transport
myo-inositol 1-phosphatase	MI1PP	[c] : h2o + mi1p-D --> inost + pi	0	Inf	1	0	Gmet_0697	1	1	SuhB	Cell Envelope Biosynthesis
2-methylisocitrate hydratase	MICITH	[c] : 2mcacn + h2o --> micit	0	Inf	1	0	Gmet_2763, Gmet_1016, Gmet_1912	1	1	Aco2, Aco1, Aco3	Alternate Carbon Metabolism
methylisocitrate lyase	MICITL	[c] : micit <==> pyr + succ	-Inf	Inf	1	0	Gmet_1122	1	1	PrpB	Alternate Carbon Metabolism
methylmalonyl-CoA epimerase	MME	[c] : mmcoa-R <==> mmcoa-S	-Inf	Inf	1	0	Gmet_3253	1	1	Mce	Amino Acid Metabolism
methylmalonyl-CoA mutase	MMM	[c] : mmcoa-R --> succoa	0	Inf	1	0	Gmet_2209_OR_Gmet_2208_AND_ Gmet_3251_OR_Gmet_1574	1	1	MutAB	Other
manganese transport via ABC system	MNabc	atp[c] + h2o[c] + mn2[e] --> adp[c] + h[c] + mn2[c] + pi[c]	0	Inf	1	0	Gmet_0491, Gmet_0493, Gmet_0492	1	1	ZnuB+ZnuC+ZnuA	Transport
3-deoxy-D-manno-octulosonic acid transferase	MOAT	[c] : ckdo + lipidA --> cmp + h + kdolipid4	0	Inf	1	0	Gmet_2348	1	1	KdtA	Cell Envelope Biosynthesis
3-deoxy-D-manno-octulosonic acid transferase	MOAT2	[c] : ckdo + kdolipid4 --> cmp + h + kdo2lipid4	0	Inf	1	0	Gmet_2348	1	1	KdtA	Cell Envelope Biosynthesis
molybdate transport via ABC system	MOBDabc	atp[c] + h2o[c] + mobd[e] --> adp[c] + h[c] + mobd[c] + pi[c]	0	Inf	1	0	Gmet_0511_OR_Gmet_0513_OR_Gmet_0512_OR_Gmet_0514	1	1	ModABCE	Transport
3-methyl-2-oxobutanoate hydroxymethyltransferase	MOHMT	[c] : 3mob + h2o + mlthf --> 2dhp + thf	0	Inf	1	0	Gmet_1642	1	1	PanB	Vitamins & Cofactor Biosynthesis
MOPS transport via ABC system	MOPSabc	atp[c] + h2o[c] + mops[e] --> adp[c] + h[c] + mops[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuA+SsuB+SsuC, SsuC1+SsuA1+SsuB1	Transport
methanesulfonate transport via ABC system	MSO3abc	atp[c] + h2o[c] + mso3[e] --> adp[c] + h[c] + mso3[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuC1+SsuA1+SsuB1, SsuA+SsuC+SsuB	Transport
methylthioadenosine nucleosidase	MTAN	[c] : 5mta + h2o --> 5mtr + ade	0	Inf	1	0	Gmet_1274, Gmet_3381	1	1	Pfs1, Pfs2	Nucleotide Metabolism
5'-methylthioadenosine phosphorylase	MTAP	[c] : 5mta + pi --> 5mdr1p + ade	0	Inf	1	0	Gmet_2684	1	1	MtaP	Nucleotide Metabolism
methenyltetrahydrofolate cyclohydrolase	MTHFC	[c] : h2o + methf <==> 10fthf + h	-Inf	Inf	1	0	Gmet_0247, Gmet_1162	1	1	FolD2, FolD 	Vitamins & Cofactor Biosynthesis
methylenetetrahydrofolate dehydrogenase (NADP)	MTHFD	[c] : mlthf + nadp <==> methf + nadph	-Inf	Inf	1	0	Gmet_0247, Gmet_1162	1	1	FolD2, FolD 	Vitamins & Cofactor Biosynthesis
5,10-methylenetetrahydrofolate reductase (FADH2)	MTHFR	[c] : fadh2 + h + mlthf --> 5mthf + fad	0	Inf	1	0	Gmet_0504, Gmet_1160	1	1	MetF2, MetF	Vitamins & Cofactor Biosynthesis
5,10-methylenetetrahydrofolate reductase (NADP)	MTHFR1	[c] : (2) h + mlthf + nadph --> 5mthf + nadp	0	Inf	1	0	Gmet_0504, Gmet_1160	1	1	MetF2, MetF	Vitamins & Cofactor Biosynthesis
nitrogen transport diffusion	N2t	n2[c] <==> n2[e]	-Inf	Inf	1	0		1	1		Transport
NADH dehydrogenase (Menaquinone 7 & 2 protons)	NADH5	(3) h[c] + mqn7[c] + nadh[c] --> (2) h[e] + mql7[c] + nad[c]	0	Inf	1	0	Gmet_0153_OR_Gmet_0172_OR_Gmet_0168_OR_Gmet_0161_OR_Gmet_0157_OR_Gmet_0165_OR_Gmet_0167_OR_Gmet_0152_OR_Gmet_0154_OR_Gmet_0159_OR_Gmet_0163_OR_Gmet_0171_AND_ Gmet_3350_OR_Gmet_3351_OR_Gmet_3347_OR_Gmet_3342_OR_Gmet_3346_OR_Gmet_3353_OR_Gmet_3345_OR_Gmet_3355_OR_Gmet_3354_OR_Gmet_3343_OR_Gmet_3344_OR_Gmet_3352_OR_Gmet_3349_OR_Gmet_3348	1	1	Nadhd3, Nadhd5	Energy Metabolism
NAD kinase	NADK	[c] : atp + nad --> adp + h + nadp	0	Inf	1	0	Gmet_0941	1	1	NadK	Vitamins & Cofactor Biosynthesis
NADPH dehydrogenase (Menaquinone 7 & 2 protons)	NADPH5	(3) h[c] + mqn7[c] + nadph[c] --> (2) h[e] + mql7[c] + nadp[c]	0	Inf	1	0	Gmet_3023_OR_Gmet_3022	1	1	Sfr	Energy Metabolism
NAD synthase (nh4)	NADS1	[c] : atp + dnad + nh4 --> amp + h + nad + ppi	0	Inf	1	0	Gmet_2863_OR_Gmet_2862	1	1	NadE	Vitamins & Cofactor Biosynthesis
nicotinic acid mononucleotide pyrophosphorylase	NAMNPP	[c] : atp + h2o + nac + prpp --> adp + nicrnt + pi + ppi	0	Inf	1	0	Gmet_2373	1	1	PncB	Cofactor and Prosthetic Group Biosynthesis
sodium proton antiporter (H:NA is 2)	NAt3_2	(2) h[e] + na1[c] --> (2) h[c] + na1[e]	0	Inf	1	0	Gmet_1089	1	1	NhaA	Transport
nucleoside-diphosphate kinase (ATP:GDP)	NDPK1	[c] : atp + gdp <==> adp + gtp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:UDP)	NDPK2	[c] : atp + udp <==> adp + utp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:CDP)	NDPK3	[c] : atp + cdp <==> adp + ctp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:dTDP)	NDPK4	[c] : atp + dtdp <==> adp + dttp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:dGDP)	NDPK5	[c] : atp + dgdp <==> adp + dgtp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:dUDP)	NDPK6	[c] : atp + dudp <==> adp + dutp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:dCDP)	NDPK7	[c] : atp + dcdp <==> adp + dctp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
nucleoside-diphosphate kinase (ATP:dADP)	NDPK8	[c] : atp + dadp <==> adp + datp	-Inf	Inf	1	0	Gmet_2686	1	1	Ndk	Nucleotide Metabolism
ammonium transport out via K+ antiport	NH4t3	k[c] + nh4[e] --> k[e] + nh4[c]	0	Inf	1	0	Gmet_1738, Gmet_0695	1	1	AmtB2, AmtB	Transport
nickel transport via ABC system	NIabc	atp[c] + h2o[c] + ni2[e] --> adp[c] + h[c] + ni2[c] + pi[c]	0	Inf	1	0	Gmet_1234, Gmet_1236, Gmet_0848, Gmet_0847, Gmet_1235	1	1	NikE+NikB+NikC+NikD+NikA	Transport
nitrogenase	NIT2	[c] : (16) atp + (4) fdxr-4:2 + (16) h2o + n2 --> (16) adp + (4) fdxo-4:2 + (6) h + h2 + (2) nh4 + (16) pi	0	Inf	1	0	Gmet_0671_OR_Gmet_0672_OR_Gmet_0669_OR_Gmet_0673_AND_ Gmet_0664_OR_Gmet_0662_OR_Gmet_0663	1	1	Nif2, Nif1	Nitrogen Metabolism
nicotinamidase	NNAM	[c] : h2o + ncam --> nac + nh4	0	Inf	1	0	Gmet_2374	1	1	PncA	Vitamins & Cofactor Biosynthesis
nicotinate-nucleotide adenylyltransferase	NNAT	[c] : atp + h + nicrnt --> dnad + ppi	0	Inf	1	0	Gmet_3200	1	1	NadD	Vitamins & Cofactor Biosynthesis
nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase	NNDMBRT	[c] : dmbzid + nicrnt --> 5prdmbz + h + nac	0	Inf	1	0	Gmet_0467	1	1	CobT	Vitamins & Cofactor Biosynthesis
nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase	NNDMBRT2	[c] : ribflv --> dmbzid + unknown1	0	Inf	1	0	Gmet_0467	1	1	CobT	Vitamins & Cofactor Biosynthesis
nicotinate-nucleotide diphosphorylase (carboxylating)	NNDPR	[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi	0	Inf	1	0	Gmet_1988	1	1	NadC1	Vitamins & Cofactor Biosynthesis
nitrite transport out via proton antiport	NO2t3	h[e] + no2[c] --> h[c] + no2[e]	0	Inf	1	0	Gmet_0333	1	1	NarK	Transport
Nitrate reductase (Cytochrome c)	NO3R3	(2) focytcc[c] + (4) h[c] + no3[c] --> (2) ficytcc[c] + (2) h[e] + h2o[c] + no2[c]	0	Inf	1	0	Gmet_0330, Gmet_1022, Gmet_1021, Gmet_0332, Gmet_0329, Gmet_0331, Gmet_1020	1	1	NarZ1+NarY1+NarW+NarV1, NarV+NarW+NarY+NarZ	Nitrogen Metabolism
nitrate transport in via nitrite antiport	NO3t7	no2[c] + no3[e] --> no2[e] + no3[c]	0	Inf	1	0	Gmet_0334	1	1	NarKec	Transport, Extracellular
2-nitropropane dioxygenase	NPPDO	[c] : (2) n2ppn + o2 --> (2) acetone + (2) h + (2) no2	0	Inf	1	0	Gmet_1293	1	1	Ncd	Other
Nucleoside triphosphate pyrophosphorylase (dgtp)	NTPP1	[c] : dgtp + h2o --> dgmp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
Nucleoside triphosphate pyrophosphorylase (gtp)	NTPP2	[c] : gtp + h2o --> gmp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
dCTP diphosphatase	NTPP3	[c] : dctp + h2o --> dcmp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
Nucleoside triphosphate pyrophosphorylase (ctp)	NTPP4	[c] : ctp + h2o --> cmp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
Nucleoside triphosphate pyrophosphorylase (datp)	NTPP5	[c] : datp + h2o --> damp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
Nucleoside triphosphate pyrophosphorylase (atp)	NTPP6	[c] : atp + h2o --> amp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
Nucleoside triphosphate pyrophosphorylase (dttp)	NTPP7	[c] : dttp + h2o --> dtmp + h + ppi	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
Nucleoside triphosphate pyrophosphorylase (utp)	NTPP8	[c] : h2o + utp --> h + ppi + ump	0	Inf	1	0	Gmet_2399	1	1	MazG	Nucleotide Salvage Pathways
nitrite reductase	NTRIRfc	[c] : (6) focytcc + (8) h + no2 --> (6) ficytcc + (2) h2o + nh4	0	Inf	1	0	Gmet_0295_OR_Gmet_0296_AND_ Gmet_0295_OR_Gmet_0294	1	1	NrfH, NrfH1	Amino Acid Metabolism
Nitrite Reductase	NTRIRmq	(2) h[c] + (3) mql7[c] + no2[e] --> (2) h2o[e] + (3) mqn7[c] + nh4[e]	0	Inf	1	0	Gmet_0295_OR_Gmet_0296_AND_ Gmet_0295_OR_Gmet_0294	1	1	NrfH, NrfH1	Amino Acid Metabolism
nitrite reductase (NADPH)	NTRIRy	[c] : (4) h + (3) nadph + no2 --> h2o + (3) nadp + nh4oh	0	Inf	1	0	Gmet_1754_OR_Gmet_3222	1	1	NasDE	Energy Metabolism
ornithine carbamoyltransferase	OCBT	[c] : cbp + orn-L <==> citr-L + h + pi	-Inf	Inf	1	0	Gmet_0205	1	1	ArgF	Amino Acid Metabolism
Octadecanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	OCDMAT8	[c] : 2tocdACP + h + nadh --> nad + ocdACP	0	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
6-oxo-cyclohex-1-ene-carbonyl-CoA hydrolase	OCHCCH	[c] : 6occhcoa + (2) h2o <==> 3hpimcoa + h	-Inf	Inf	1	0	Gmet_3305, Gmet_2088	1	1	Oah, Oah1	Aromatic Compound degradation
Octanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase	OCMAT3	[c] : 2toceACP + h + nadh --> nad + octACP	0	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate)	OCOAT1r	[c] : acac + succoa <==> aacoa + succ	-Inf	Inf	1	0	Gmet_3296_OR_Gmet_3297	1	1	ScoAB	Carbohydrates and related molecules
trans-octaprenyltranstransferase	OCTT	[c] : ipdp + octdp --> nondp + ppi	0	Inf	1	0	Gmet_2455	1	1	IspB	Lipid & Cell Wall Metabolism
oxopimelylcoa:glutarylcoa acyltransferase	OGCOAAT	[c] : 3opimcoa + coa <==> accoa + glutcoa	-Inf	Inf	1	0		1	1		Aromatic Compound degradation
2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate)	OIVD1	[c] : 4mop + coa + nad <==> co2 + ivcoa + nadh	-Inf	Inf	1	0		1	1		Valine, Leucine, and Isoleucine Metabolism
2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate)	OIVD2	[c] : 3mob + coa + nad --> co2 + ibcoa + nadh	0	Inf	1	0		1	1		Valine, Leucine, and Isoleucine Metabolism
2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate)	OIVD3	[c] : 3mop + coa + nad --> 2mbcoa + co2 + nadh	0	Inf	1	0		1	1		Valine, Leucine, and Isoleucine Metabolism
2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	OMCDC	[c] : 3c4mop + h --> 4mop + co2	0	Inf	1	0		1	1		Amino Acid Metabolism
orotidine-5'-phosphate decarboxylase	OMPDC	[c] : h + orot5p --> co2 + ump	0	Inf	1	0	Gmet_1355	1	1	PyrF	Nucleotide Metabolism
2-oxoglutarate synthase	OOR	[c] : akg + coa + fdxo-4:2 --> co2 + fdxr-4:2 + h + succoa	0	Inf	1	0	Gmet_1363_OR_Gmet_1364_OR_Gmet_1361_OR_Gmet_1362	1	1	Ofo	Central Metabolism
3-octaprenyl-4-hydroxybenzoate carboxy-lyase	OPHBDC	[c] : 3ophb + h --> 2oph + co2	0	Inf	1	0	Gmet_3392	1	1	UbiX	Other
2-Octaprenylphenol hydroxylase	OPHHX	[c] : 2oph + (0.5) o2 --> 2ohph	0	Inf	1	0	Gmet_0760	1	1	UbiB	Cofactor and Prosthetic Group Biosynthesis
ornithine transacetylase	ORNTAC	[c] : acorn + glu-L <==> acglu + orn-L	-Inf	Inf	1	0	Gmet_0952	1	1	ArgJ	Amino Acid Metabolism
orotate phosphoribosyltransferase	ORPT	[c] : orot5p + ppi <==> orot + prpp	-Inf	Inf	1	0	Gmet_1938	1	1	PyrE	Nucleotide Metabolism
Oxalate:Formate antiporter	OXFOt4	for[c] + oxa[e] <==> for[e] + oxa[c]	-Inf	Inf	1	0	Gmet_2465	1	1	OfA	Transport
1-pyrroline-5-carboxylate dehydrogenase	P5CD	[c] : 1pyr5c + (2) h2o + nad --> glu-L + h + nadh	0	Inf	1	0	Gmet_3512	1	1	PyrcPrd	Amino Acid Metabolism
pyrroline-5-carboxylate reductase	P5CRy	[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L	0	Inf	1	0	Gmet_0899	1	1	ProG	Amino Acid Metabolism
